Work_Location,H_Androscoggin,H_Aroostook,H_Cumberland,H_Franklin,H_Hancock,H_Kennebec,H_Knox,H_Lincoln,H_Oxford,H_Penobscot,H_Piscataquis,H_Sagadahoc,H_Somerset,H_Waldo,H_Washington,H_York
Androscoggin County,0.5423,0.0081,0.0430,0.0947,0.0127,0.0771,0.0124,0.0304,0.1606,0.0143,0.0160,0.0729,0.0361,0.0119,0.0098,0.0235
Aroostook County,0.0017,0.8033,0.0016,0.0046,0.0050,0.0017,0.0054,0.0016,0.0043,0.0151,0.0153,0.0014,0.0043,0.0058,0.0535,0.0017
Cumberland County,0.2164,0.0254,0.7674,0.1046,0.0538,0.0978,0.0643,0.1577,0.1785,0.0471,0.0549,0.3725,0.0857,0.0566,0.0303,0.2987
Franklin County,0.0123,0.0025,0.0027,0.4517,0.0057,0.0146,0.0075,0.0044,0.0213,0.0057,0.0062,0.0035,0.0358,0.0077,0.0039,0.0023
Hancock County,0.0026,0.0105,0.0023,0.0105,0.6389,0.0045,0.0157,0.0035,0.0055,0.0376,0.0191,0.0034,0.0114,0.0396,0.0728,0.0020
Kennebec County,0.0604,0.0240,0.0236,0.0910,0.0342,0.5969,0.0596,0.1100,0.0409,0.0542,0.0530,0.0847,0.2286,0.1028,0.0260,0.0150
Knox County,0.0037,0.0043,0.0044,0.0115,0.0150,0.0115,0.6211,0.0981,0.0084,0.0094,0.0120,0.0143,0.0095,0.0943,0.0048,0.0030
Lincoln County,0.0048,0.0013,0.0045,0.0084,0.0069,0.0141,0.0519,0.3955,0.0061,0.0031,0.0057,0.0351,0.0052,0.0133,0.0016,0.0026
Oxford County,0.0275,0.0039,0.0098,0.0533,0.0044,0.0072,0.0043,0.0093,0.3761,0.0035,0.0049,0.0075,0.0138,0.0037,0.0042,0.0083
Penobscot County,0.0184,0.0685,0.0138,0.0363,0.1370,0.0333,0.0449,0.0175,0.0302,0.7189,0.2199,0.0148,0.1104,0.1640,0.0877,0.0113
Piscataquis County,0.0006,0.0028,0.0004,0.0039,0.0036,0.0014,0.0028,0.0008,0.0015,0.0152,0.4971,0.0011,0.0139,0.0038,0.0036,0.0006
Sagadahoc County,0.0444,0.0013,0.0201,0.0095,0.0047,0.0350,0.0122,0.0924,0.0077,0.0031,0.0032,0.3272,0.0116,0.0089,0.0013,0.0048
Somerset County,0.0061,0.0060,0.0028,0.0485,0.0108,0.0470,0.0084,0.0072,0.0138,0.0222,0.0467,0.0048,0.3688,0.0253,0.0131,0.0027
Waldo County,0.0025,0.0030,0.0023,0.0063,0.0217,0.0100,0.0547,0.0083,0.0041,0.0160,0.0099,0.0054,0.0132,0.4287,0.0125,0.0016
Washington County,0.0010,0.0150,0.0007,0.0012,0.0171,0.0008,0.0073,0.0015,0.0014,0.0100,0.0079,0.0007,0.0021,0.0064,0.6495,0.0007
York County,0.0211,0.0043,0.0606,0.0283,0.0123,0.0143,0.0121,0.0246,0.0412,0.0078,0.0113,0.0200,0.0175,0.0108,0.0052,0.4357
New Hampshire,0.0070,0.0026,0.0137,0.0192,0.0037,0.0055,0.0030,0.0065,0.0808,0.0042,0.0049,0.0057,0.0156,0.0034,0.0045,0.1500
Massachusetts,0.0156,0.0039,0.0158,0.0040,0.0034,0.0155,0.0037,0.0185,0.0037,0.0038,0.0046,0.0154,0.0034,0.0037,0.0054,0.0251
CT-RI-VT,0.0027,0.0011,0.0029,0.0063,0.0020,0.0035,0.0023,0.0041,0.0076,0.0016,0.0017,0.0023,0.0061,0.0016,0.0014,0.0030
Outside New England,0.0089,0.0081,0.0074,0.0062,0.0071,0.0085,0.0062,0.0083,0.0064,0.0071,0.0057,0.0075,0.0068,0.0077,0.0092,0.0075
