Destination,Androscoggin County,Aroostook County,Cumberland County,Franklin County,Hancock County,Kennebec County,Knox County,Lincoln County,Oxford County,Penobscot County,Piscataquis County,Sagadahoc County,Somerset County,Waldo County,Washington County,York County,New Hampshire,Massachusetts,CT-RI-VT,Outside New England,Total
Androscoggin County,28311,221,6505,1204,283,4330,192,431,4260,968,104,1297,831,190,107,2324,434,223,61,222,52498
Aroostook County,89,21887,237,58,112,94,84,23,113,1022,99,25,98,92,585,165,38,68,30,522,25441
Cumberland County,11296,692,116177,1330,1198,5490,993,2239,4735,3178,356,6630,1974,901,331,29585,2362,1511,402,1376,192756
Franklin County,640,69,403,5743,127,818,116,62,564,383,40,63,825,122,43,223,135,79,16,65,10536
Hancock County,137,287,353,134,14233,254,243,50,147,2537,124,61,263,630,797,201,82,83,5,228,20849
Kennebec County,3153,655,3574,1157,762,33507,921,1561,1086,3658,344,1507,5263,1637,284,1489,276,223,64,317,61438
Knox County,194,118,673,146,335,643,9592,1393,222,632,78,254,219,1501,52,298,51,108,37,165,16711
Lincoln County,250,35,685,107,154,791,802,5615,162,211,37,624,120,212,17,256,37,41,14,89,10259
Oxford County,1436,107,1491,677,98,404,66,132,9975,234,32,133,317,59,46,827,566,192,52,142,16986
Penobscot County,962,1866,2096,461,3051,1868,694,248,801,48521,1426,264,2541,2612,959,1122,253,184,67,459,70455
Piscataquis County,33,75,66,49,81,76,43,11,39,1028,3224,19,321,60,39,55,12,7,2,36,5276
Sagadahoc County,2316,35,3040,121,104,1963,189,1312,204,207,21,5823,266,142,14,478,61,58,25,64,16443
Somerset County,319,163,429,617,240,2638,129,102,367,1500,303,85,8491,403,143,268,75,47,18,103,16440
Waldo County,128,81,354,80,483,560,845,118,108,1081,64,96,305,6826,137,162,39,74,7,65,11613
Washington County,52,409,109,15,381,43,112,21,36,677,51,12,49,102,7106,65,13,20,6,101,9380
York County,1100,117,9169,360,274,801,187,349,1092,529,73,356,404,172,57,43164,4991,807,135,582,64719
New Hampshire,364,72,2070,244,83,310,46,92,2142,281,32,102,360,54,49,14855,569557,46108,20375,5094,662290
Massachusetts,817,106,2396,51,76,870,57,262,97,255,30,274,79,59,59,2488,106757,3311625,131169,51586,3609113
CT-RI-VT,143,31,432,80,45,195,36,58,201,107,11,41,141,26,15,295,14372,93402,2221895,99672,2431198
Outside New England,465,221,1124,79,158,477,96,118,171,480,37,133,156,122,101,742,6568,46633,133243,135241760,135432884
Total,52205,27247,151383,12713,22278,56132,15443,14197,26522,67489,6486,17799,23023,15922,10941,99062,706679,3501493,2507623,135402648,142737285
