Work_Location,H_Androscoggin,H_Aroostook,H_Cumberland,H_Franklin,H_Hancock,H_Kennebec,H_Knox,H_Lincoln,H_Oxford,H_Penobscot,H_Piscataquis,H_Sagadahoc,H_Somerset,H_Waldo,H_Washington,H_York,H_NH,H_MA,H_CtRiVt,H-RestUS
Androscoggin County,0.539277686769020000000000000000,0.004209684178444890000000000000,0.123909482265991000000000000000,0.022934207017410200000000000000,0.005390681549773320000000000000,0.082479332546001700000000000000,0.003657282182178370000000000000,0.008209836565202480000000000000,0.081145948417082600000000000000,0.018438797668482600000000000000,0.001981027848679950000000000000,0.024705703074402800000000000000,0.015829174444740800000000000000,0.003619185492780680000000000000,0.002038172882776490000000000000,0.044268353080117300000000000000,0.008266981599299020000000000000,0.004247780867842580000000000000,0.001161949026629590000000000000,0.004228732523143740000000000000
Aroostook County,0.003498290161550250000000000000,0.860304233324162000000000000000,0.009315671553791130000000000000,0.002279784599661960000000000000,0.004402342675209310000000000000,0.003694823316693530000000000000,0.003301757006406980000000000000,0.000904052513659054000000000000,0.004441649306237960000000000000,0.040171376911284900000000000000,0.003891356471836800000000000000,0.000982665775716363000000000000,0.003852049840808140000000000000,0.003616210054636220000000000000,0.022994379151762900000000000000,0.006485594119728000000000000000,0.001493651979088870000000000000,0.002672850909948510000000000000,0.001179198930859640000000000000,0.020518061396957700000000000000
Cumberland County,0.058602585652327300000000000000,0.003590030919919480000000000000,0.602715349976136000000000000000,0.006899914918342360000000000000,0.006215111332461770000000000000,0.028481603685488400000000000000,0.005151590611965390000000000000,0.011615721430201900000000000000,0.024564734690489500000000000000,0.016487165120670700000000000000,0.001846894519496150000000000000,0.034395816472639000000000000000,0.010240926352487100000000000000,0.004674303264230430000000000000,0.001717196870655130000000000000,0.153484197638465000000000000000,0.012253833862499700000000000000,0.007838925895951360000000000000,0.002085538193363630000000000000,0.007138558592209840000000000000
Franklin County,0.060744115413819300000000000000,0.006548974943052390000000000000,0.038249810174639300000000000000,0.545083523158694000000000000000,0.012053910402429800000000000000,0.077638572513287800000000000000,0.011009870918754700000000000000,0.005884586180713740000000000000,0.053530751708428200000000000000,0.036351556567957500000000000000,0.003796507213363710000000000000,0.005979498861047840000000000000,0.078302961275626400000000000000,0.011579347000759300000000000000,0.004081245254365980000000000000,0.021165527714502700000000000000,0.012813211845102500000000000000,0.007498101746393320000000000000,0.001518602885345480000000000000,0.006169324221716020000000000000
Hancock County,0.006571058563959900000000000000,0.013765648232529100000000000000,0.016931267686699600000000000000,0.006427166770588520000000000000,0.682670631684973000000000000000,0.012182838505443900000000000000,0.011655235263082200000000000000,0.002398196556189750000000000000,0.007050697875197850000000000000,0.121684493261068000000000000000,0.005947527459350570000000000000,0.002925799798551490000000000000,0.012614513885558100000000000000,0.030217276607990800000000000000,0.038227253105664500000000000000,0.009640750155882780000000000000,0.003933042352151180000000000000,0.003981006283274980000000000000,0.000239819655618975000000000000,0.010935776296225200000000000000
Kennebec County,0.051320029948891600000000000000,0.010661154334451000000000000000,0.058172466551645600000000000000,0.018831993228946300000000000000,0.012402747485269700000000000000,0.545379081350304000000000000000,0.014990722354243300000000000000,0.025407728116149600000000000000,0.017676356652234800000000000000,0.059539698557895800000000000000,0.005599140597024640000000000000,0.024528793254988800000000000000,0.085663595820176400000000000000,0.026644747550376000000000000000,0.004622546306845930000000000000,0.024235814967935200000000000000,0.004492333734822100000000000000,0.003629675445164230000000000000,0.001041700576190630000000000000,0.005159673166444220000000000000
Knox County,0.011609119741487600000000000000,0.007061217162348150000000000000,0.040272874154748400000000000000,0.008736760217820600000000000000,0.020046675842259600000000000000,0.038477649452456500000000000000,0.573993178146131000000000000000,0.083358267009754100000000000000,0.013284662796960100000000000000,0.037819400394949400000000000000,0.004667584225958950000000000000,0.015199569146071400000000000000,0.013105140326730900000000000000,0.089821075938004900000000000000,0.003111722817305970000000000000,0.017832565376099600000000000000,0.003051881993896240000000000000,0.006462808928250850000000000000,0.002214110466160010000000000000,0.009873735862605470000000000000
Lincoln County,0.024368846866166300000000000000,0.003411638561263280000000000000,0.066770640413295600000000000000,0.010429866458719200000000000000,0.015011209669558400000000000000,0.077103031484550200000000000000,0.078175260746661500000000000000,0.547324300614095000000000000000,0.015791012769275800000000000000,0.020567306755044400000000000000,0.003606589336192610000000000000,0.060824641777951100000000000000,0.011697046495759800000000000000,0.020664782142509000000000000000,0.001657081586899310000000000000,0.024953699190954300000000000000,0.003606589336192610000000000000,0.003996490886051270000000000000,0.001364655424505310000000000000,0.008675309484355200000000000000
Oxford County,0.084540209584363600000000000000,0.006299305310255500000000000000,0.087778170257859400000000000000,0.039856352290121300000000000000,0.005769457200047100000000000000,0.023784292947132900000000000000,0.003885552808194980000000000000,0.007771105616389970000000000000,0.587248322147651000000000000000,0.013776050865418600000000000000,0.001883904391852110000000000000,0.007829977628635350000000000000,0.018662427881785000000000000000,0.003473448722477330000000000000,0.002708112563287410000000000000,0.048687154126928100000000000000,0.033321558930884300000000000000,0.011303426351112700000000000000,0.003061344636759680000000000000,0.008359825738843750000000000000
Penobscot County,0.013654105457384100000000000000,0.026484990419416700000000000000,0.029749485487190400000000000000,0.006543183592363920000000000000,0.043304236746859700000000000000,0.026513377333049500000000000000,0.009850259030586900000000000000,0.003519977290469090000000000000,0.011368958909942500000000000000,0.688680718188915000000000000000,0.020239869420197300000000000000,0.003747072599531620000000000000,0.036065573770491800000000000000,0.037073309204456700000000000000,0.013611525086934900000000000000,0.015925058548009400000000000000,0.003590944574551130000000000000,0.002611596054219010000000000000,0.000950961606699312000000000000,0.006514796678731100000000000000
