County,Census_2020,WP_2019_Forecast,WP_2020_Forecast
Androscoggin,111139,108277,108392
Aroostook,67105,67055,66973
Cumberland,303069,295003,296039
Franklin,29456,30199,30230
Hancock,55478,54987,54961
Kennebec,123642,122302,122446
Knox,40607,39772,39799
Lincoln,35237,34634,34690
Oxford,57777,57975,58063
Penobscot,152199,152148,152041
Piscataquis,16800,16785,16785
Sagadahoc,36699,35856,35906
Somerset,50477,50484,50479
Waldo,39607,39715,39842
Washington,31095,31379,31377
York,211972,207641,208313
New_Hampshire,1377529,1359711,1494360
Massachusetts,7029917,6892503,7398402
CT_RI_VT,5346400,5248637,5483198
Outside_New_England,316333076,313396369,369601229
